OPIS_ID|OPIS_DANE|OPIS_AUTOR|OPIS_TYTUL|OPIS_WYDAWCA|OPIS_MWYD|OPIS_RWYD|ZKS_SYGNAT|RKS_TEKST
123|001  amol2000080  a821.111(73)-3100  a6067245  aTango na preriicRobert James Waller ; z ang. przeł. Katarzyna Daab260  aWarszawabŚwiat Książki - Bertelsmann Mediac2006300  a265, [2] s.bil.c21 cm500  aPubl. klubu Świat Książki nr 5363650 |Waller, Robert James (1939- ).|Tango na prerii|Świat Książki - Bertelsmann Me|Warszawa|2006|beletrystyka |Beletrystyka
142|001  amol2000080  a821.161.1-3100  a6091245  aLektura nadobowiązkowacBoris Akunin ; z ros. przeł. Ewa Rojewska-Olejarczuk260  aWarszawabŚwiat Książki - Bertelsmann Mediac2005300  a527, [1] s.c20 cm440  a37xv500  aPubl. klubu Świat Książ|Akunin, Boris (1956- ).|Lektura nadobowiązkowa|Świat Książki - Bertelsmann Me|Warszawa|2005|beletrystyka |Beletrystyka
144|001  amol2000080  a821.162.1-3100  a6095245  aAusteriacJulian Stryjkowski260  aWarszawabŚwiat Książki - Bertelsmann Mediac2006300  a221, [1] s.c21 cm440  a18xv500  aNa podst.: J. Stryjkowski Sen Azrila, Austeria, PIW, Warszawa 1995. Wyd|Stryjkowski, Julian (1905-1996).|Austeria|Świat Książki - Bertelsmann Me|Warszawa|2006|beletrystyka |Beletrystyka
177|001  amol2000080  a821.131.1-3100  a6151245  aKlątwa światłacGiulio Leoni ; przeł. Anita Słomak260  aKrakówbSpołeczny Instytut Wydawniczy Znakc2006300  a333, [1] s.c20 cm500  aTyt. oryg.: "I delitti della luce" 2005650  a236700  a6152|Leoni, Giulio.|Klątwa światła|Społeczny Instytut Wydawniczy |Kraków|2006|beletrystyka |Beletrystyka
145|001  amol2000080  a821.111(73)-3100  a6096245  aBłękitna krewcHarlan Coben ; z ang. przeł. Andrzej Grabowski260  aWarszawabWydawnictwo Albatros Andrzej Kuryłowiczc2006300  a318, [1] s.c20 cm650  a15700  a6097920  a83-7359-487-6.- 978-83|Coben, Harlan (1962- ).|Błękitna krew|Wydawnictwo Albatros Andrzej K|Warszawa|2006|beletrystyka |Beletrystyka
146|001  amol2000080  a820(73)-3100  a6098245  aZaginiony światcMichael Crichton ; z ang. przeł. Andrzej Leszczyński260  aWarszawab"Świat Książki"c1997300  a542, [1] s.c20 cm500  aOryg. : "The lost world" 1995650  a15700  a6099920  a83-71|Crichton, Michael (1942-2008).|Zaginiony świat|"Świat Książki"|Warszawa|1997|beletrystyka |Beletrystyka
156|001  amol2000080  a91(075.3.053.7)100  a6115245  aGeografiabpodręcznik dla uczniów liceum ogólnokształcącego, liceum profilowanego i technikumcRoman Domachowski, Ewa Szulc-DąbrowieckanCz. 2pCzłowiek i jego działalność260  aWarszawa
b"Żak" - Wyd|Domachowski, Roman (1940- ).|Geografia : podręcznik dla uczniów liceum ogólnoks|"Żak" - Wydaw. Edukacyjne Zofi|Warszawa|2003|geografia-podręcznik|Podręczniki
133|001  amol2000080  a821.162.1(091)-1"18/19"100  a6080245  aPoezja polska od romantyzmu do dwudziestolecia międzywojennegobinterpretacjecpod red. Aliny Kowalczykowej i Teresy Marciszuk260  aWarszawab"Stentor"ccop. 1999300  a227, [4] s.
b1 faks.|Kowalczykowa, Alina (1936- ). Red.|Poezja polska od romantyzmu do dwudziestolecia mię|"Stentor"|Warszawa|cop. 1999|historia literatury|Naukowe i popularnonaukowe
7594|001  amol2000080  a821.162.1(091)-1](075.3)100  a6080245  aPoezja współczesna w szkolebinterpretacjecpod red. Aliny Kowalczykowej250  aWyd. 2260  aWarszawabStentorc2002300  a170, [6] s.c21 cm440  a36xv650  a3270650  a5177920  a83|Kowalczykowa, Alina (1936- ). Red.|Poezja współczesna w szkole : interpretacje|Stentor|Warszawa|2002|język polski - podrę|Podręczniki
151|001  amol2000080  a811.162.1(075.3.053.7)(076)100  a6108245  aĆwiczymy czytanie ze zrozumieniembtesty i zadania dla szkół ponadgimnazjalnychcGrażyna Bogucka, Janusz Wojczakowski260  aWarszawab"Stentor"ccop. 2004300  a186 s.
bil. (w tym kolor.|Bogucka, Grażyna.|Ćwiczymy czytanie ze zrozumieniem : testy i zadani|"Stentor"|Warszawa|cop. 2004|jęz. polski podręczn|Podręczniki
152|001  amol2000080  a811.162.1(075.3.053.6)100  a6110245  aLekcje pisaniacTeresa Michałkiewicz260  aWarszawabWydawnictwo Piotra Marciszuka Stentorc2005300  a119, [1] s.c26 cm500  aNa okł. podtyt.: dla gimnazjalistów i nie tylko650  a20265|Michałkiewicz, Teresa.|Lekcje pisania|Wydawnictwo Piotra Marciszuka |Warszawa|2005|jęz. polski podręczn|Podręczniki
153|001  amol2000080  a94(438).082A/Z:929-052A/Z100  a6111245  aBohaterowie nie umierająbwojenne losy braci Kuskówcpod red. Magdy Drobot260  aTarnówbWydawnictwo Diecezji Tarnowskiej Biblosc2006300  a155 s.bil.c24 cm500  aBibliogr. s. 102-104
|Drobot, Magda. Red.|Bohaterowie nie umierają : wojenne losy braci Kusk|Wydawnictwo Diecezji Tarnowski|Tarnów|2006|tarnoviana|Naukowe i popularnonaukowe
154|001  amol2000080  a239::283/289100  a6112245  aPrzewodnik apologetycznycJosh McDowell ; [przekł. Aleksandra Czwojdrak]260  aWarszawab"Vocatio"ccop. 2002300  aL, 714 s.c23 cm440  a40xv500  aTyt. oryg.: "The new evidence that demands a ve|McDowell, Josh (1939- ).|Przewodnik apologetyczny|"Vocatio"|Warszawa|cop. 2002|religie|Naukowe i popularnonaukowe
154|001  amol2000080  a239::283/289100  a6112245  aPrzewodnik apologetycznycJosh McDowell ; [przekł. Aleksandra Czwojdrak]260  aWarszawab"Vocatio"ccop. 2002300  aL, 714 s.c23 cm440  a40xv500  aTyt. oryg.: "The new evidence that demands a ve|McDowell, Josh (1939- ).|Przewodnik apologetyczny|"Vocatio"|Warszawa|cop. 2002|religie|Naukowe i popularnonaukowe
154|001  amol2000080  a239::283/289100  a6112245  aPrzewodnik apologetycznycJosh McDowell ; [przekł. Aleksandra Czwojdrak]260  aWarszawab"Vocatio"ccop. 2002300  aL, 714 s.c23 cm440  a40xv500  aTyt. oryg.: "The new evidence that demands a ve|McDowell, Josh (1939- ).|Przewodnik apologetyczny|"Vocatio"|Warszawa|cop. 2002|religie|Naukowe i popularnonaukowe
155|001  amol2000100  a6114245  aFadocAndrzej Stasiuk 260  aWołowiecbWydawnictwo Czarnec2006300  a168, [5] s.c20 cm500  aBnF online650  a210650  a211650  a212650  a213650  a214920  a978-2-267-02027-4|Stasiuk, Andrzej (1960- ).|Fado|Wydawnictwo Czarne|Wołowiec|2006|beletrystyka |Beletrystyka
157|001  amol2000080  a94(438).083::323:328.18]"1980/..."100  a6117245  aSalon 2balfabet szulerówcWaldemar ŁysiaknCz. 1pA-L260  aWarszawabWydawnictwo Nobilis - Krzysztof Sobierajc2006300  a327 s., [4] s. tabl. kolor.bil.c22 cm650  a216650|Łysiak, Waldemar (1944- ).|Salon 2 : alfabet szulerów|Wydawnictwo Nobilis - Krzyszto|Warszawa|2006|publicystyka|Beletrystyka
158|001  amol2000080  a94(438).083::323:328.18]"1980/..."100  a6117245  aSalon 2balfabet szulerówcWaldemar ŁysiaknCz. 2pM-Z260  aWarszawabWydawnictwo Nobilis - Krzysztof Sobierajc2006300  aS. [6], 335-656, [4] s. tabl. kolor.bil.c22 cm650  |Łysiak, Waldemar (1944- ).|Salon 2 : alfabet szulerów|Wydawnictwo Nobilis - Krzyszto|Warszawa|2006|publicystyka|Beletrystyka
159|001  amol2000080  a7.096(73)"19":[050+070]-51(73)"19"100  a6118245  aChłopcy Murrowabna frontach wojny i dziennikarstwacStanley Cloud i Lynne Olson ; przeł. Piotr Amsterdamski260  aWarszawabAndrzej Findeisen/A.M.F Plus Groupc2006300  a471 s.,|Cloud, Stanley.|Chłopcy Murrowa : na frontach wojny i dziennikarst|Andrzej Findeisen/A.M.F Plus G|Warszawa|2006|radio - audycje|Naukowe i popularnonaukowe
168|001  amol2000080  a821.162.1-3100  a2245  aFestung BreslaucMarek Krajewski260  aWarszawabWydawnictwo W.A.B.c2006300  a285, [3] s.c20 cm440  a1xv500  aIndeks650  a1920  a83-7414-210-3.- 978-83-7414-210-6|Krajewski, Marek (1966- ).|Festung Breslau|Wydawnictwo W.A.B.|Warszawa|2006|beletrystyka |Beletrystyka
169|001  amol2000080  a821.111(73)-3100  a6137245  aOperacja "Barakuda"cna podst. pomysłu Toma Clancy'ego tekst David Michaels ; przekł. Maciej Pintara260  aWarszawabWydawnictwo Amberc2006300  a221, [2] s.c21 cm440  a42xv500  aNa podst. gry|Michaels, David (1955- ).|Operacja "Barakuda"|Wydawnictwo Amber|Warszawa|2006|beletrystyka |Beletrystyka
170|001  amol2000080  a821.111-3100  a6139245  aTrzynasta opowieśćcDiane Setterfield ; przekł. Barbara Przybyłowska260  aWarszawabWydawnictwo Amberc2006300  a341, [2] s.c24 cm500  aTyt. oryg.: "The thirteenth tale" 2006650  a116700  a6140|Setterfield, Diane.|Trzynasta opowieść|Wydawnictwo Amber|Warszawa|2006|beletrystyka |Beletrystyka
171|001  amol2000080  a821.111-3100  a6141245  aO piękniecZadie Smith ; przeł. Zbigniew Batko260  aKrakówbSpołeczny Instytut Wydawniczy Znakc2006300  a597, [3] s.c21 cm440  a38xv500  aU góry okł.: Transatlantycka saga kosmiczna650  a116|Smith, Zadie (1975- ).|O pięknie|Społeczny Instytut Wydawniczy |Kraków|2006|beletrystyka |Beletrystyka
172|001  amol2000080  a821.162.1-3100  a6143245  aImprezacMarcin Jaskulski260  aWarszawabWydawnictwo Telbitccop. 2006300  a238 s.c20 cm650  a1920  a83-88109-75-8|Jaskulski, Marcin (1974- ).|Impreza|Wydawnictwo Telbit|Warszawa|cop. 2006|beletrystyka |Beletrystyka
173|001  amol2000080  a821.162.1-3100  a6144245  aMolekuły emocjicJanusz L. Wiśniewski260  aKrakówbWydawnictwo Literackiec2006300  a121, [6] s.c21 cm650  a228920  a83-08-03902-2|Wiśniewski, Janusz Leon (1954- ).|Molekuły emocji|Wydawnictwo Literackie|Kraków|2006|beletrystyka |Beletrystyka
174|001  amol2000080  a94(47+57):329.15A/Z:929-052A/Z]"19"100  a6145245  aNieznany StalincRoj Miedwiediew, Żores Miedwiediew ; z jęz. ang. przeł. Tomasz Illg260  aKatowicebVideograf IIc2006300  a473, [1] s.c21 cm440  a43xv500  aPodstawa tł.|Medvedev, Roj Aleksandrovič (1925- ).|Nieznany Stalin|Videograf II|Katowice|2006|biografie|Naukowe i popularnonaukowe
293|001  amol2000080  a821.162.3-3100  a1245  aDom na klifiecMonika Szwaja260  aWarszawabPrószyński i S-kac2006300  a270 [1] s.c23 cm650  a1920  a8374693169|Szwaja, Monika.|Dom na klifie|Prószyński i S-ka|Warszawa|2006|beletrystyka|Beletrystyka
165|001  amol2000080  a821.111(73)-3100  a6132245  aJej Książęca WysokośćcDanielle Steel ; [przekł. Agata Kowalczyk, Alicja Marcinkowska, Alicja Skarbińska-Zielińska]260  aWarszawabWydawnictwo Amberc2006300  a238, [1] s.c21 cm650  a3700  a613|Steel, Danielle.|Jej Książęca Wysokość|Wydawnictwo Amber|Warszawa|2006|beletrystyka |Beletrystyka
292|001  amol2000080  a821.162.1-3100  a1245  aPowtórka z morderstwacMonika Szwaja260  aWarszawabPrószyński i S-kac2006300  a301, [1] s.c23 cm650  a1920  a978-83-7469-421-6|Szwaja, Monika.|Powtórka z morderstwa|Prószyński i S-ka|Warszawa|2006|beletrystyka|Beletrystyka
295|001  amol2000080  a338.1:336.76](091)100  a6293245  aNajwiększe afery w dziejach światacPeter N. Martin, Bruno Hollnagel ; przeł. z niem. Magdalena Ilgmann260  aWarszawabDom Wydawniczy Bellonaccop. 2005300  a294, [2] s.bil.c24 cm500  aTyt.|Martin, Peter N.|Największe afery w dziejach świata|Dom Wydawniczy Bellona|Warszawa|cop. 2005|sytuacja gospodarcza|Naukowe i popularnonaukowe
166|001  amol2000080  a73/76+72](075.3.053.7)100  a6136245  aSztuka i czasbod prehistorii do rokokacBarbara Osińska250  aWyd. 2260  aWarszawabWydawnictwa Szkolne i Pedagogicznec2004300  a256 s.
bil. (gł. kolor.), faks., fot., pl., portr., rys.
|Osińska, Barbara (?-2002).|Sztuka i czas : od prehistorii do rokoka|Wydawnictwa Szkolne i Pedagogi|Warszawa|2004|sztuka|Naukowe i popularnonaukowe
167|001  amol2000080  a73/76+72](075.3.053.7)100  a6136245  aSztuka i czasbod klasycyzmu do współczesnościcBarbara Osińska260  aWarszawabWydawnictwa Szkolne i Pedagogicznec2005300  a295 s.bil., fot. kolor.c31 cm500  aBibliogr. przy rozdz650|Osińska, Barbara (?-2002).|Sztuka i czas : od klasycyzmu do współczesności|Wydawnictwa Szkolne i Pedagogi|Warszawa|2005|sztuka|Naukowe i popularnonaukowe
166|001  amol2000080  a73/76+72](075.3.053.7)100  a6136245  aSztuka i czasbod prehistorii do rokokacBarbara Osińska250  aWyd. 2260  aWarszawabWydawnictwa Szkolne i Pedagogicznec2004300  a256 s.
bil. (gł. kolor.), faks., fot., pl., portr., rys.
|Osińska, Barbara (?-2002).|Sztuka i czas : od prehistorii do rokoka|Wydawnictwa Szkolne i Pedagogi|Warszawa|2004|sztuka|Naukowe i popularnonaukowe
167|001  amol2000080  a73/76+72](075.3.053.7)100  a6136245  aSztuka i czasbod klasycyzmu do współczesnościcBarbara Osińska260  aWarszawabWydawnictwa Szkolne i Pedagogicznec2005300  a295 s.bil., fot. kolor.c31 cm500  aBibliogr. przy rozdz650|Osińska, Barbara (?-2002).|Sztuka i czas : od klasycyzmu do współczesności|Wydawnictwa Szkolne i Pedagogi|Warszawa|2005|sztuka|Naukowe i popularnonaukowe
